lat,lon,loc
7.102985,125.124371,MAGPET (COTABATO)
6.958772,125.088787,MAKILALA (COTABATO)
7.083156,124.90132,MATALAM (COTABATO)
7.189187,124.532667,MIDSAYAP (COTABATO)
6.946186,124.878058,M'LANG (COTABATO)
7.277469,124.424287,PIGKAWAYAN (COTABATO)
7.058331,124.676519,PIKIT (COTABATO)
7.15809,125.051468,PRESIDENT ROXAS (COTABATO)
6.831533,124.874452,TULUNAN (COTABATO)
7.667795,126.085266,COMPOSTELA (DAVAO DE ORO)
7.819226,125.792615,LAAK (DAVAO DE ORO)
7.30963,125.854702,MABINI ( DAVAO DE ORO)
7.370528,125.861861,MACO (DAVAO DE ORO)
7.317194,126.123839,MARAGUSAN (DAVAO DE ORO)
7.509837,125.921754,MAWAB (DAVAO DE ORO)
7.824235,126.052994,MONKAYO (DAVAO DE ORO)
7.704487,125.988315,MONTEVISTA (DAVAO DE ORO)
7.603339,125.969328,NABUNTURAN (DAVAO DE ORO)
7.127157,125.897673,PANTUKAN (DAVAO DE ORO)
7.547961,126.13677,NEW BATAAN (DAVAO DE ORO)
7.078617,125.712031,ISLAND GARDEN CITY OF SAMAL (DAVAO DEL NORTE)
7.283508,125.672003,CITY OF PANABO (DAVAO DEL NORTE)
7.440811,125.826395,CITY OF TAGUM (DAVAO DEL NORTE)
7.53835,125.753516,ASUNCION (DAVAO DEL NORTE)
7.44814,125.69053,BRAULIO E. DUJALI (DAVAO DEL NORTE)
7.353575,125.705148,CARMEN (DAVAO DEL NORTE)
7.585253,125.707963,KAPALONG (DAVAO DEL NORTE)
7.587491,125.824105,NEW CORELLA (DAVAO DEL NORTE)
7.532803,125.622546,SANTO TOMAS (DAVAO DEL NORTE)
7.064397,125.607763,CITY OF DAVAO (DAVAO DEL SUR)
6.744374,125.35634,CITY OF DIGOS (DAVAO DEL SUR)
6.787688,125.211213,BANSALAN (DAVAO DEL SUR)
6.688607,125.297638,HAGONOY (DAVAO DEL SUR)
6.753465,125.154238,MAGSAYSAY (DAVAO DEL SUR)
6.591311,125.400718,MALALAG (DAVAO DEL SUR)
